	Bcell_HPCA	DC_HPCA	Fibroblasts_HPCA	MSC_HPCA	Macrophage_HPCA	Monocyte_HPCA	NK cells_HPCA	Tcell_HPCA	Adipocytes_ENCODE	CD4+ Tcell_ENCODE	CD8+ T-cells_ENCODE	Bcell_ENCODE	DC_ENCODE	Eosinophils_ENCODE	Fibroblasts_ENCODE	Macrophage_ENCODE	Monocyte_ENCODE	NK cells_ENCODE
SLC44A2	9.0	5.0	8.0	8.0	8.0	7.0	9.0	9.0	9.0	10.0	10.0	10.0	7.0	10.0	9.0	9.0	9.0	10.0
SLC44A3	1.0	1.0	4.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
SLC44A4	2.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC44A5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC45A1	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0
SLC45A2	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC45A3	5.0	5.0	5.0	5.0	6.0	5.0	5.0	5.0	1.0	1.0	1.0	4.0	1.0	9.0	3.0	7.0	3.0	1.0
SLC45A4	5.0	6.0	5.0	5.0	6.0	6.0	6.0	6.0	6.0	7.0	8.0	4.0	7.0	10.0	5.0	7.0	6.0	9.0
SLC46A1	5.0	5.0	5.0	5.0	5.0	6.0	5.0	5.0	6.0	1.0	1.0	4.0	1.0	1.0	5.0	4.0	3.0	1.0
SLC46A2	3.0	4.0	3.0	3.0	4.0	7.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0
SLC46A3	9.0	8.0	7.0	5.0	9.0	8.0	8.0	9.0	5.0	8.0	7.0	7.0	7.0	6.0	4.0	8.0	5.0	7.0
SLC47A1	2.0	8.0	3.0	4.0	8.0	4.0	3.0	2.0	4.0	1.0	1.0	1.0	6.0	7.0	2.0	7.0	2.0	1.0
SLC47A2	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC48A1	6.0	7.0	7.0	5.0	8.0	7.0	5.0	6.0	7.0	6.0	5.0	7.0	7.0	7.0	7.0	8.0	7.0	1.0
SLC4A1	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0
SLC4A10	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
SLC4A11	4.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	2.0	1.0	1.0
SLC4A1AP	9.0	10.0	9.0	10.0	10.0	9.0	10.0	10.0	7.0	8.0	8.0	8.0	9.0	7.0	8.0	8.0	8.0	8.0
SLC4A2	7.0	8.0	8.0	8.0	9.0	8.0	7.0	6.0	9.0	8.0	8.0	9.0	9.0	9.0	9.0	9.0	8.0	8.0
SLC4A3	4.0	4.0	5.0	5.0	4.0	4.0	4.0	5.0	3.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0
SLC4A4	2.0	2.0	3.0	6.0	2.0	2.0	4.0	3.0	4.0	1.0	3.0	1.0	1.0	1.0	4.0	1.0	1.0	7.0
SLC4A5	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	6.0	2.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0
SLC4A7	6.0	6.0	6.0	7.0	6.0	6.0	6.0	7.0	8.0	9.0	9.0	7.0	9.0	7.0	9.0	9.0	8.0	9.0
SLC4A8	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	2.0	4.0	5.0	3.0	5.0	9.0	4.0	7.0	7.0	6.0
SLC4A9	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC50A1	9.0	9.0	8.0	8.0	9.0	8.0	8.0	8.0	8.0	8.0	8.0	10.0	10.0	7.0	9.0	9.0	9.0	8.0
SLC51A	1.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLC51B	4.0	4.0	3.0	3.0	5.0	4.0	4.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLC52A1	4.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLC52A2	7.0	8.0	8.0	8.0	8.0	7.0	7.0	6.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLC52A3	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLC5A1	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC5A10	6.0	6.0	5.0	5.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC5A11	5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC5A12	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC5A2	5.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	3.0	3.0	5.0	1.0	1.0	1.0	1.0	2.0	1.0
SLC5A3	6.0	8.0	6.0	7.0	8.0	5.0	7.0	6.0	8.0	8.0	8.0	6.0	10.0	6.0	7.0	9.0	5.0	8.0
SLC5A4	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC5A5	7.0	7.0	7.0	6.0	7.0	7.0	6.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC5A6	8.0	8.0	7.0	8.0	9.0	8.0	8.0	9.0	9.0	8.0	8.0	8.0	8.0	7.0	7.0	8.0	7.0	7.0
SLC5A7	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC5A8	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC5A9	3.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0
SLC6A1	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC6A11	5.0	5.0	5.0	4.0	5.0	6.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC6A12	4.0	7.0	3.0	3.0	8.0	6.0	3.0	4.0	2.0	1.0	1.0	1.0	7.0	1.0	1.0	8.0	4.0	1.0
SLC6A13	6.0	6.0	5.0	5.0	6.0	6.0	5.0	6.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC6A14	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC6A15	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0
SLC6A16	6.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	1.0	4.0	5.0	7.0	1.0	8.0	1.0	3.0	2.0	6.0
SLC6A17	7.0	7.0	6.0	6.0	7.0	7.0	7.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC6A18	6.0	5.0	5.0	4.0	5.0	6.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC6A19	6.0	5.0	5.0	5.0	5.0	6.0	5.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC6A2	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC6A20	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC6A3	6.0	6.0	6.0	6.0	6.0	7.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC6A4	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
SLC6A5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC6A6	4.0	7.0	5.0	6.0	8.0	7.0	5.0	5.0	8.0	8.0	7.0	5.0	10.0	10.0	7.0	10.0	10.0	7.0
SLC6A7	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0
SLC6A8	4.0	6.0	7.0	8.0	6.0	6.0	4.0	4.0	7.0	1.0	1.0	1.0	1.0	1.0	6.0	6.0	3.0	1.0
SLC6A9	4.0	4.0	6.0	6.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	7.0	1.0	1.0	1.0
SLC7A1	7.0	7.0	7.0	9.0	7.0	6.0	7.0	7.0	7.0	6.0	5.0	6.0	7.0	6.0	8.0	7.0	5.0	6.0
SLC7A10	5.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC7A11	5.0	10.0	9.0	9.0	9.0	7.0	5.0	4.0	2.0	1.0	1.0	1.0	10.0	1.0	8.0	6.0	4.0	1.0
SLC7A11-AS1	2.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLC7A13	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC7A14	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
SLC7A2	4.0	4.0	4.0	6.0	4.0	4.0	4.0	4.0	7.0	1.0	1.0	1.0	9.0	1.0	5.0	1.0	1.0	1.0
SLC7A3	4.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC7A4	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC7A5	8.0	8.0	10.0	10.0	8.0	7.0	10.0	8.0	3.0	4.0	6.0	7.0	7.0	7.0	8.0	6.0	8.0	7.0
SLC7A6	8.0	6.0	7.0	7.0	5.0	6.0	8.0	8.0	9.0	10.0	9.0	8.0	7.0	8.0	7.0	7.0	7.0	8.0
SLC7A6OS	8.0	7.0	7.0	7.0	7.0	8.0	8.0	8.0	7.0	8.0	8.0	8.0	7.0	9.0	7.0	7.0	7.0	8.0
SLC7A7	9.0	10.0	8.0	6.0	10.0	10.0	7.0	7.0	7.0	1.0	1.0	9.0	8.0	5.0	3.0	10.0	10.0	1.0
SLC7A8	6.0	8.0	6.0	6.0	8.0	7.0	6.0	7.0	7.0	1.0	3.0	1.0	8.0	8.0	5.0	8.0	1.0	1.0
SLC7A9	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC8A1	2.0	4.0	4.0	5.0	5.0	5.0	2.0	2.0	6.0	1.0	1.0	1.0	8.0	1.0	8.0	9.0	9.0	1.0
SLC8A1-AS1	1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLC8A2	4.0	5.0	4.0	4.0	4.0	5.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC8A3	4.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC8B1	6.0	8.0	6.0	5.0	8.0	7.0	6.0	7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLC9A1	8.0	8.0	9.0	8.0	9.0	8.0	8.0	8.0	6.0	6.0	6.0	6.0	6.0	9.0	6.0	6.0	7.0	6.0
SLC9A2	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0
SLC9A3	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC9A3R1	8.0	8.0	6.0	6.0	8.0	9.0	9.0	10.0	7.0	9.0	9.0	8.0	7.0	10.0	7.0	8.0	9.0	10.0
SLC9A3R2	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	8.0	1.0	2.0	1.0	1.0	1.0	8.0	1.0	2.0	4.0
SLC9A4	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC9A5	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLC9A6	9.0	10.0	9.0	9.0	10.0	9.0	9.0	9.0	7.0	8.0	7.0	6.0	7.0	6.0	7.0	8.0	7.0	7.0
SLC9A7	7.0	6.0	6.0	6.0	7.0	5.0	4.0	4.0	4.0	5.0	2.0	6.0	9.0	1.0	7.0	9.0	5.0	1.0
SLC9A8	6.0	6.0	6.0	5.0	6.0	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	9.0	6.0	6.0	8.0	7.0
SLC9A9	6.0	6.0	6.0	6.0	7.0	7.0	6.0	6.0	7.0	8.0	7.0	5.0	8.0	6.0	6.0	7.0	8.0	8.0
SLC9B1	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	5.0	3.0	1.0	1.0	1.0	2.0	1.0	2.0
SLC9B2	6.0	4.0	7.0	7.0	4.0	4.0	6.0	6.0	7.0	7.0	7.0	7.0	6.0	1.0	7.0	2.0	3.0	7.0
SLC9C2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLCO1A2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLCO1B1	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLCO1B3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLCO1B7	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLCO1C1	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLCO2A1	4.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
SLCO2B1	4.0	8.0	4.0	3.0	8.0	5.0	4.0	4.0	7.0	1.0	1.0	1.0	8.0	1.0	1.0	10.0	1.0	1.0
SLCO3A1	7.0	8.0	6.0	6.0	7.0	8.0	8.0	8.0	6.0	7.0	6.0	5.0	9.0	10.0	4.0	6.0	9.0	7.0
SLCO4A1	7.0	8.0	5.0	4.0	8.0	6.0	7.0	6.0	7.0	1.0	1.0	3.0	1.0	1.0	1.0	6.0	2.0	1.0
SLCO4A1-AS1	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLCO4C1	1.0	3.0	1.0	1.0	4.0	2.0	8.0	2.0	1.0	1.0	4.0	1.0	6.0	7.0	1.0	5.0	4.0	8.0
SLCO5A1	3.0	4.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	3.0	9.0	1.0	1.0	1.0	1.0	1.0
SLCO6A1	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLF1	5.0	4.0	4.0	5.0	4.0	4.0	6.0	6.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLF2	7.0	7.0	6.0	6.0	7.0	6.0	7.0	7.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLFN11	8.0	8.0	8.0	7.0	8.0	9.0	8.0	8.0	9.0	7.0	8.0	9.0	7.0	7.0	9.0	9.0	9.0	7.0
SLFN12	5.0	6.0	8.0	7.0	6.0	7.0	7.0	6.0	6.0	6.0	6.0	5.0	6.0	7.0	8.0	6.0	7.0	8.0
SLFN12L	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	2.0	9.0	9.0	2.0	7.0	7.0	1.0	1.0	2.0	10.0
SLFN13	4.0	1.0	1.0	1.0	1.0	1.0	8.0	3.0	4.0	7.0	7.0	7.0	6.0	9.0	2.0	7.0	6.0	9.0
SLFN14	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0
SLFN5	4.0	6.0	7.0	8.0	6.0	6.0	8.0	8.0	8.0	10.0	10.0	3.0	9.0	7.0	9.0	8.0	7.0	10.0
SLFNL1	6.0	6.0	5.0	5.0	6.0	6.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLIRP	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	9.0	9.0	10.0	7.0	10.0	10.0	9.0	9.0
SLIT1	4.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLIT1-AS1	4.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SLIT2	3.0	3.0	9.0	7.0	3.0	3.0	3.0	3.0	7.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0
SLIT2-IT1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLIT3	5.0	5.0	8.0	6.0	5.0	5.0	5.0	5.0	7.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0
SLITRK1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLITRK2	4.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLITRK3	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLITRK4	1.0	1.0	2.0	3.0	3.0	3.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	2.0	5.0	6.0	1.0
SLITRK5	2.0	2.0	2.0	4.0	3.0	2.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLITRK6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLK	7.0	8.0	8.0	8.0	8.0	8.0	9.0	9.0	9.0	9.0	9.0	6.0	9.0	8.0	8.0	8.0	8.0	9.0
SLMAP	6.0	6.0	6.0	7.0	6.0	6.0	7.0	6.0	9.0	9.0	9.0	8.0	9.0	10.0	8.0	8.0	9.0	9.0
SLN	4.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLPI	7.0	7.0	6.0	6.0	7.0	8.0	7.0	8.0	7.0	1.0	4.0	1.0	1.0	10.0	2.0	1.0	3.0	1.0
SLTM	10.0	9.0	9.0	9.0	9.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0
SLU7	9.0	9.0	8.0	8.0	9.0	9.0	9.0	9.0	9.0	10.0	10.0	9.0	9.0	9.0	9.0	9.0	10.0	10.0
SLURP1	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SLX1A	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.0	7.0	8.0	9.0	8.0	10.0	8.0	9.0	8.0	9.0
SLX1A-SULT1A3	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.0	6.0	6.0	8.0	6.0	8.0	6.0	5.0	7.0	7.0
SLX1B	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	6.0	7.0	7.0	8.0	8.0	8.0	6.0	7.0	7.0	7.0
SLX1B-SULT1A4	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	1.0	4.0	5.0	6.0	5.0	7.0	1.0	3.0	5.0	3.0
SLX4	7.0	7.0	5.0	6.0	6.0	6.0	6.0	6.0	2.0	4.0	4.0	5.0	6.0	7.0	4.0	5.0	3.0	6.0
SLX4IP	3.0	5.0	4.0	4.0	4.0	3.0	4.0	3.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SMAD1	4.0	7.0	8.0	8.0	6.0	6.0	4.0	3.0	7.0	2.0	2.0	1.0	6.0	1.0	8.0	6.0	6.0	1.0
SMAD1-AS2	1.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0
SMAD2	8.0	8.0	9.0	8.0	9.0	9.0	9.0	8.0	9.0	10.0	10.0	9.0	10.0	10.0	9.0	10.0	9.0	10.0
SMAD3	6.0	5.0	7.0	8.0	5.0	6.0	7.0	7.0	8.0	8.0	8.0	5.0	1.0	9.0	8.0	4.0	9.0	8.0
SMAD4	7.0	7.0	7.0	7.0	6.0	7.0	7.0	8.0	9.0	10.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0
SMAD5	8.0	7.0	8.0	8.0	7.0	6.0	9.0	6.0	9.0	4.0	7.0	8.0	7.0	9.0	9.0	8.0	8.0	8.0
SMAD5-AS1	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SMAD6	4.0	6.0	6.0	6.0	5.0	5.0	4.0	4.0	7.0	1.0	1.0	1.0	7.0	1.0	7.0	2.0	5.0	1.0
SMAD7	6.0	9.0	8.0	8.0	9.0	8.0	10.0	8.0	8.0	7.0	8.0	5.0	9.0	9.0	7.0	7.0	8.0	9.0
SMAD9	3.0	3.0	5.0	5.0	3.0	3.0	3.0	3.0	4.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0
SMAGP	7.0	4.0	8.0	9.0	5.0	5.0	7.0	7.0	4.0	4.0	4.0	4.0	1.0	1.0	7.0	1.0	4.0	7.0
SMAP1	10.0	10.0	9.0	9.0	10.0	10.0	10.0	10.0	7.0	8.0	9.0	8.0	9.0	7.0	7.0	8.0	8.0	8.0
SMAP2	10.0	10.0	7.0	9.0	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	7.0	9.0	10.0	10.0
SMARCA1	1.0	2.0	9.0	9.0	1.0	1.0	1.0	1.0	8.0	3.0	2.0	1.0	1.0	1.0	9.0	1.0	1.0	1.0
SMARCA2	9.0	8.0	9.0	8.0	8.0	8.0	9.0	9.0	9.0	10.0	10.0	9.0	10.0	10.0	9.0	9.0	9.0	10.0
SMARCA4	8.0	8.0	8.0	9.0	8.0	8.0	9.0	8.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	8.0	8.0	9.0
SMARCA5	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	8.0	10.0	10.0	9.0	10.0	8.0	8.0	8.0	9.0	9.0
SMARCAD1	9.0	9.0	9.0	9.0	9.0	8.0	9.0	9.0	7.0	8.0	8.0	8.0	7.0	6.0	8.0	8.0	7.0	8.0
SMARCAL1	9.0	8.0	9.0	9.0	8.0	8.0	8.0	8.0	7.0	7.0	7.0	7.0	7.0	8.0	7.0	7.0	4.0	7.0
SMARCB1	9.0	8.0	8.0	9.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	10.0	8.0	8.0	9.0	8.0	8.0	8.0
SMARCC1	9.0	8.0	8.0	9.0	8.0	8.0	9.0	8.0	8.0	9.0	9.0	9.0	8.0	9.0	8.0	8.0	8.0	9.0
SMARCC2	9.0	8.0	7.0	8.0	8.0	8.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	10.0	9.0	8.0	9.0	9.0
SMARCD1	7.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	9.0	9.0	9.0	9.0	9.0	9.0	8.0	7.0	8.0	9.0
SMARCD2	9.0	9.0	8.0	8.0	8.0	9.0	9.0	9.0	10.0	9.0	9.0	9.0	10.0	10.0	9.0	9.0	9.0	9.0
SMARCD3	5.0	6.0	8.0	9.0	6.0	8.0	5.0	6.0	7.0	6.0	6.0	3.0	1.0	6.0	8.0	7.0	8.0	1.0
SMARCE1	10.0	10.0	10.0	10.0	9.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	8.0	10.0	9.0	9.0	10.0
SMC1A	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	8.0	8.0	8.0	8.0	8.0	8.0	7.0	8.0	8.0	8.0
SMC1B	2.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
